阿鼻地獄　極端痛苦	"Avici Hell; 
Extreme sufferings."
閉門造車　出門合轍	"To Build a Cart Behind Closed Doors; 
All according to plan."
鼻孔朝天　心高氣傲	"Turn Up One's Nose; 
Proud and arrogant."
避溺投火　抱薪救火	"To Avoid Drowning by Leaping into the Fire; 
To go from bad to worse."
辯才無礙　能言善道	"Supreme Eloquence; 
Articulate and persuasive."
標新立異　見解獨特	"Unconventional; 
Unique in one's understanding."
別具隻眼　觀察入微	"Astute Perspective; 
Down to the last detail."
冰消瓦解　一切空無	"Dissolve Like Ice; 
Utter emptiness."
般若心經名家演唱	Heart Sutra: sung by masters
般若性海	Prajna Wisdom and Ocean of Nature
撥草瞻風　明察秋毫	"To Observe Wind Through the Movement of Grass; 
Awareness of the finest details."
撥無因果　否定報應	"To Deny Cause and Effect; 
To negate karmic retribution."
撥雲見日　重見光明	"Clear the Clouds to See the Sky; 
To see the light again."
撥著便轉　受到啟發	"Struck with Insight; 
Sudden inspiration."
缽盂安柄　多此一舉	"Put a Handle on a Bowl; 
To do more than is required."
步步蓮花　漸入佳境	"Lotuses Appearing at Each Step; 
Gradual improvement."
不動如山	Be As Steady As the Mountains
不動心也	The Unmoving Mind
不二法門	The Dharma Gate of Non-Duality
不二法門　萬法一如	"The Gate of Non-Duality; 
All dharmas are the same."
不垢不淨　不生分別	"Neither Pure nor Impure; 
Not differentiating."
不即不離　行事中道	"Neither Close nor Far; 
Practice the Middle Path.
"
"不結善緣結惡緣，
苦貪名利受熱煎；
豈知住世金銀寶，
借汝閒看幾十年。"	"Making unwholesome affinity instead of wholesome ones,
One shall suffer from greed for wealth and fame;
Know of all worldly fortunes as such:
They are none other than decades of transient views."
"不經一番寒徹骨，
怎得梅花撲鼻香；
直饒熱得人流汗，
荷池蓮蕊也芬芳。"	"Only After the Chilling Cold
Without the trials of cruel and harsh winter,
How can plum blossoms turn tangy with fragrance?
In the heat that makes one perspire,
Water lilies and lotus buds will also grow with fragrance."
不拘小節　大處著眼	"Do Not Bother About Mere Trifles; 
Focus on the big picture."
不可理喻　無法對話	"Impervious to Reason; 
Unreasonable and difficult to talk to."
不可收拾　難以挽回	"Out of Hand; 
Beyond repair."
不可思議　妙不可言	"Inconceivable; 
Ineffable and indescribable."
不可限量　無有止盡	"Limitless and Boundless; 
Formidable and immeasurable."
不可言宣　以心印心	"Ineffable and Indescribable Teachings; 
Only through a heart-to-heart connection."
不歷階梯　直指人心	"Without Going Through the Steps; 
Directly pointing to one's mind."
不立文字　以心傳心	"Not Predicated on Words; 
A heart-to-heart transmission."
不了情之歌為情困擾	Love Without End: the song of love entanglement
不落因果　否定業報	"Not Falling into Cause and Effect; 
Denying karmic retributions."
不昧因果　輪迴循環	"Not Ignoring Cause and Effect; 
The cycle of rebirth."
不念舊惡　消愁解恨	"Do Not Hold Any Grudges; 
Eliminate worry and dispel hatred."
不請之友	An Uninvited Helper
不請之友　自動發心	"An Unprompted Friend; 
A wholehearted initiative. "
不生不滅　不落兩邊	"Neither Arising nor Ceasing; 
Not falling to either extreme."
不生不死　超越對待	"Neither Birth nor Death; 
Transcending duality."
不識抬舉　誤失良機	"Turning a Blind Eye to Favors; 
To miss a golden opportunity."
不受福德　功行不夠	"Unworthy of Merit; 
Insufficient cultivation."
不受信施　德行不夠	"Unworthy of Offering; 
Insufficient virtue."
不死不活　行屍走肉	"Neither Dead nor Alive; 
Like a walking corpse."
不退菩薩　信願堅定	"Non-Retrogressing Bodhisattva; 
Unwavering faith and vow."
不退心	A Mind of No Regression
不忘初心	Never Forget One's Initial Aspirations
不忘初心　華嚴經句	"Never Forget One’s Initial Aspirations; 
Quote from the Avatamsaka Sutra."
不惜眉毛　不惜代價	"At the Price of One's Eyebrows; 
At all costs."
不用心機	Do Not Be Scheming
不增不減　一多不二	"Neither Increasing nor Decreasing; 
Non-duality of one and many."
不知不覺　猶如木石	"Heedless and Unaware; 
Like wood and stone."
不知好歹　自以為是	"Unable to Differentiate Good and Bad; 
To believe in one's infallibility."
不著空有	Remain Unattached to Either Emptiness or Form
補拙	Sincere and Honest
採檳榔一曲周璇成名	Picking Betel Nuts: what brought Zhou Xuan to fame
採茶歌少女歌聲嘹亮	Tea Picking Song: resonant voices of young ladies
參禪三偈	Three Chan Poems
殘羹剩飯　陳腔濫調	"Serving Leftovers; 
Stale speech."
殘缺也是美半月繁星	The Beauty of Imperfection: half-moon and twinkling stars
慚愧	Shamefulness
慚愧為美	Shame is a Virtue
慚愧之美	The Beauty in a Sense of Shame
滄海一聲笑勝敗今宵	A Sound of Laughter in the Vast Sea: tonight is the night
藏頭露尾　舉止畏縮	"Burying Head in the Sand; 
Cowardly and avoidant."
草木生光	Light Emits from the Grass and Trees
草衣木食　生活清苦	"Ragged Clothes and Coarse Food; 
A frugal life."
草原之夜歌聲依然	Nights of the Prairie: lingering voices
茶禪	Tea Chan
茶禪一味　人間佛法	"Chan and Tea are of One Taste; 
Dharma in the human world."
釵頭鳳愛情悲哀結案	The Phoneix Hairpin: a love tragedy
懺悔改過勇者進步	Song of Repentance: change and advance courageously
禪	Chan
禪門諸祖師偈頌	Chanmen Zhu Zhushi Jisong (Verses of the Chan Patriarchs)
禪心	Chan Mind
禪心佛道	The Chan Mind, the Buddha's Way
禪心有悟	A Chan Mind Is A Mind of Enlightenment
禪心正覺	Chan Mind and Right Awakening
禪絮沾泥　內心染塵	"Meditative Thoughts Dipped in Mud; 
Tainted by unwholesome thoughts."
禪悅自在	Carefreeness Found in the Joy of Chan
常保安康	Always Maintain Good Health
常樂我淨	Eternity, Bliss, Self, and Purity
常住真心　安定永恆	"True Mind that Always Abides; 
Everlasting peace and stability."
長城謠牆下哀怨不已	Ballad of the Great Wall: grief-stricken at the wall’s foot
長生庫	The Treasury of Longevity
長亭送別離愁萬千	Farewell Song: the sorrows of separation
長齋綉佛　持戒嚴謹	"Devout Practitioner; 
Strictly upholding the precepts."
超塵脫俗　離世無染	"Transcending Defilements, Free From the Mundane; 
Leaving the worldly untainted."
超凡入聖　斷惑證真	"Transcending the Ordinary, Into the Supramundane; 
Eliminating defilements, realizing the Truth."
超然物外　任性逍遙	"Transcend the Material World; 
Follow one's nature freely."
超然自得　淡泊曠達	"Unattached and Carefree; 
Simplicity and acceptance."
超世凡俗　出塵不染	"Transcend the Mundane and Worldly; 
Rise from defilements untainted."
徹骨徹髓　完完全全	"Bred in the Bone; 
Completely."
徹頭徹尾　自始至終	"From Start to Finish; 
From beginning to end."
塵盡光生　自然明朗	"When Dusts are Cleared, Light will Shine; 
Naturally bright."
"塵勞迥脫事非常，
緊把繩頭做一場。
不經一番寒徹骨，
怎得梅花撲鼻香。"	"Separation from worldly passions is an extraordinary task,
Grab the head of rope and tie it with all your might;
If not for the bone-biting winter cold,
How can the plum blossom and its fragrance assail the nostrils?"
塵緣人間花開花落	Love Destiny: blooming and wilting flowers
沉默是金始終相信	Silence is Golden: I still believe
晨曦空氣運動最好	Morning: morning air, best time for exercise
晨鐘暮鼓　發人深省	"Morning Bells and Evening Drums; 
Thought-provoking."
秤錘落井　下落難尋	"Weights Dropped into a Well; 
Difficult to reclaim."
成恩心	Heart of Gratitude
成佛作祖　到達目標	"Attain Buddhahood and Become a Patriarch; 
To reach the goal. "
成功嶺山頭成功在望	Off to Success: success is within reach
成家立業　後繼有人	"Get Married, Start a Career; 
Pass on the torch."
成人之美	Assist Others in Fulfilling Their Goals
成住壞空　世界循環	"Formation, Existence, Decay, and Disappearance; 
The way of the world."
澄淨光明	Clarity, Purity, and Brightness
城裏的月光把夢照亮	Moonlight in the City: illuminating the dream
撐門拄戶　維持家計	"The Pillar of the Family; 
Supporting the household."
撐天拄地　任運乾坤	"Heaven Above and Earth Below; 
Follow the course of the universe effortlessly."
誠訥篤實	The Wonderful Truth of Reality
誠信	Sincerity and Honesty
稱譏毀譽　他人評論	"Praise, Ridicule, Defamation, Honor; 
Other people's comments."
稱心滿意　一切具足	"Be Pleased and Satisfied; 
Fully replete."
稱心如意	In Accord With One's Wishes
稱讚如來　口說好話	"Praising the Tathagata; 
Speaking good words."
承虛接響　捨本逐末	"Accepting the Hollow, Entertaining the Echo; 
Neglecting the roots, pursuing the branches."
吃虧是福	Being Disadvantaged is in Fact a Blessing
赤手空拳　單打獨鬥	"Barehanded; 
Fighting a battle alone."
痴人說夢　胡言亂語	"Sleep Talking Fool; 
Nonsensical speech."
痴心妄想　不能實現	"Carried Away by Wishful Thinking; 
Cannot be actualized."
抽釘拔楔　徹底解決	"Pulling Nails and Wedges; 
To resolve completely."
臭肉來蠅　禍事自招	"Like Flies to Rotten Meat; 
We bring mishaps to ourselves."
愁眉苦臉　心事重重	"To Wear a Worried Look; 
To have a lot on one's mind."
愁雲慘霧　生活淒涼	"In Distress and Desperation; 
A desolate life."
出塵上士	Out of the Dust Comes a Sage
出佛身血　五逆重罪	"Shedding the Blood of a Buddha; 
One of the Five Great Violations."
出類拔萃	Be Outstanding
出生入死　赴湯蹈火	"Willing to Risk Life and Limb; 
To go through boiling water and tread on fire."
出息入息　靜坐禪觀	"Inhaling and Exhaling; 
In meditative contemplation."
處世平和	Keep Harmonious Thoughts For the World
處世無畏  和平共存	May All Beings Live Without Fear and Coexist in Peace
觸目無滯　所見無障	"Unobstructed Vision; 
See through everything."
觸途成滯　遇事不通	"No Way Out; 
Fail to make any progress."
除妄歸真　返本還源	"Eliminating Delusions, Returning to the Truth; 
Back to the origin."
船歌響起江海飄蕩	Boat Song: boats slapping against rivers and oceans
傳奇山中王菲留情	Legend: love from Faye Wong
傳臨濟正宗第四十八世佛光山開山祖師星雲大師圓寂讚頌典禮	Memorial Service of Venerable Master Hsing Yun 48th Generation of the Linji School — Founding Master of Fo Guang Shan
傳臨濟正宗第四十八世佛光山開山祖師星雲大師圓寂荼毘大典	Cremation Ceremony of Ven. Master Hsing Yun 48th generation of the Linji School — Founding Master of Fo Guang Shan
床上安床　重複模仿	"Hat on Top of Another Hat; 
Duplication."
"垂垂白髮下青山，
七載歸來換舊顏；
人却少年松已老，
是非從此落人間。"	"Leaving the mountain with hairs turned grey, 
Returning after seven years with a changed old face; 
Though youthful in age, the pine tree is already old,
Henceforth, right and wrong will linger in this world."
吹大法螺　說法度眾	"Sounding the Great Dharma Conch; 
Teaching the Dharma to liberate people."
炊沙成飯　愚痴妄想	"Cooking Sand to Get Rice; 
Ignorance and delusion."
"垂訓詩
行藏虛實自家知，
禍福因由更問誰；
善惡到頭終有報，
只爭來早與來遲。
閑中檢點平生事，
靜坐思量日所為。
常把一心行正道，
天地自然不相虧。"	"Superior Instruction
Only you would know the genuineness of your conducts,
Who else decides the causes of fortune and misfortune?
Karmic retributions, good or bad, are only eventual,
Sooner or later? It is only a matter of difference.
During spare times, reflect on your life’s doings,
Meditate and contemplate on your daily conduct.
Constantly set your mind on what is righteous,
Naturally, heaven and earth will never betray you."
春風化雨	Spring Breeze and Rain
春風吻上我的臉百花盛開	Spring Breeze Kiss My Face: flowers blooming
春寒料峭　寒氣透骨	"Spring Chill in the Air; 
Chilled to the bone."
春花秋月	Spring Flowers and Autumn Moon
春天柳絮飄揚空中	Spring: catkins in the air
"春有百花秋有月，
夏有涼風冬有雪；
若無閒事掛心頭，
便是人間好時節。"	"Spring has its blossoms and autumn its moon, 
Summer has its breezes and winter its snow; 
If one has nothing to be concerned about, 
Then any time is a good time in life."
慈悲	Compassion
慈悲福德	The Merit of Compassion
慈悲平等	Compassion is Equal
慈悲如華	Compassion Like a Flower
慈悲十方	Compassion for the Ten Directions
慈悲為本	Compassion as Principle
慈悲為懷　救苦救難	"Have a Compassionate Heart; 
Alleviating suffering."
慈悲為心	Keep Compassion in Mind
慈悲為用	Compassion Is the Way
慈悲喜捨	Loving Kindness, Compassion, Joy, and Equanimity
慈悲心香	A Fragrant and Compassionate Mind
慈悲智勇	Loving Kindness, Compassion, Wisdom, and Courage
慈航普渡　都有緣份	"The Ferry of Compassion Liberates All; 
All in affinity."
慈忍為力	Compassion and Tolerance are Strength
慈善傳家	Compassion as Family Tradition
慈孝	Compassion and Filial Piety
慈心活水	A Compassionate Mind is Like Flowing Water
慈心無量	Boundless Compassion
慈眼視眾生	Regard Sentient Being With Compassion
詞窮理盡　無話可說	"Out of Words and Reasons; 
Nothing to say."
從容生活	Live Calmly and Composed
從善如流	Forge Ahead in Doing What is Right
粗茶淡飯　生活簡樸	"Plain Tea and Simple Food; 
Humble living."
寸步難行　處境艱難	"In a Tight Corner; 
To be in a difficult situation."
寸鐵殺人　精簡妙用	"Even a Small Piece of Metal Can Kill; 
Simple clever use."
錯七錯八　彌增顛倒	"At Sixes and Sevens; 
Worsening distorted views."
撮土為金　轉凡為聖	"Turn Lead into Gold; 
Transform the ordinary into the sagely."
打草驚蛇　事情曝光	"To Beat the Grass to Startle the Snake; 
To disclose through rash action."
打成一片　融和一體	"Merge into One; 
Harmonious integration."
達官貴人　地位顯要	"Dignitaries; 
Of prominent status."
大徹大悟　明心見性	"Thoroughly Awakened; 
To realize the mind and see one's intrinsic nature."
大吹大擂　自我膨脹	"To Blow One's Own Trumpet; 
Arrogant ostentation."
大慈大悲	Great Loving Kindness and Great Compassion
大慈大悲　拔苦與樂	"Great Compassion, Great Loving-Kindness; 
Relieve suffering and give joy."
大道難行　修學不易	"It is Difficult to Walk the Great Path; 
Cultivation and practice is not easy."
大道無私	The Selflessness of the Great Path
大地春曉	The Arrival of Spring on Earth
大地飛歌終歸烏有	Flying Song: all becomes nothing
大地回春	Spring Has Returned to Earth
大地如母	The Earth is Like a Mother
大地生春	The Return of Spring
大地生機	Earth's Vitality
大地一人	I am the Great Earth
大發慈悲　心生憐憫	"Great Arising of Compassion; 
A merciful heart."
大公無私	Impartiality and Unselfishness
大光明藏	Treasure of Great Light
大海撈針　難以獲得	"Finding a Needle in a Haystack; 
Difficult to acquire."
大機大用	The Greater the Capability the Greater the Accomplishment
大機大用　善根深厚	"Great Capability, Great Accomplishment; 
Profound and wholesome roots."
大家吉祥	Auspicious Blessings to All
大江東去難再回頭	River of No Return: no turning back
大覺慈尊　釋迦如來	"Enlightened, Compassionate, and Honored One; 
Sakyamuni Buddha."
大覺我師	The Great Awakened One is My Teacher
大千世界　廣闊無邊	"Thousand-fold World System; 
Immense and boundless."
大千行腳	Cover the Great World with One's Footsteps
"大千一粒未為寬，
打破娘生赤肉團。
萬法本閒人自鬧，
更從何處覓心安？"	"A great chiliocosm, like a single grain of millet, is not even substantial.
Transcend the pink lump of flesh conceived by the mother;
Myriad things are originally tranquil, only humans agitate,
Where else can one find a serene abiding for the heart? "
大巧若拙	The Wise Appears Slow-witted
大人大量	Great Person, Great Strength
大死一番　身心脫落	"Die a Great Death; 
Free from the body and mind."
大休大歇　離盡諸妄	"The Great Respite and Repose; 
Severing all delusions."
大隱於市	Great Reclusion Within the City
大勇無諍	The Truly Brave Does Not Fight
大勇無爭	The Courageous Do Not Dispute
大圓鏡智　心開意解	"Great Perfect Mirror of Wisdom; 
All queries resolved and knots untangled."
大圓滿覺	Perfectly Awakened One
大圓滿覺　如來至尊	"Perfectly Awakened One; 
The supreme Tathagata."
大眾雲集　全部到齊	"Assembly Like a Gathering of Clouds; 
Everyone in attendance."
打破漆桶　大徹大悟	"Breaking the Paint Bucket; 
Thorough enlightenment."
打破玄關　超越思維	"To Break Through the Barrier of Mystery; 
Going beyond thinking."
打退堂鼓　中途變卦	"Beat a Retreat; 
To change one's mind halfway."
待人以誠	Be Sincere to Others
淡泊人生	A Simple Life
淡泊知足	Find Contentment in Simplicity
淡出妄緣	Let Delusive Conditions Subside
淡然	Remain Detached
單刀直入　乾淨俐落	"Cut Straight to the Point; 
Direct and efficient."
單槍匹馬　獨自行動	"Singlehandedly; 
Go it alone."
單絲不線　孤掌難鳴	"A Single Thread Does Not Make a String; 
Hard to clap with only one hand."
擔雪填井　徒勞無功	"To Fill a Well with Snow; 
Efforts in vain."
當面錯過　失去機會	"To Miss What's Right Under One's Nose; 
To lose an opportunity."
當仁不讓	Do Not Fall Behind in Showing Benevolence
當頭棒喝　直接受教	"Strike a Telling Blow; 
Lectured directly."
當我們同在一起快樂無比	When We Are Together: so very happy
當掌聲響起苦盡甘來	Applause: after suffering comes happiness
道高魔重　邪不勝正	"The Way Triumphs Evil; 
Depravity cannot overcome righteousness."
道高一尺　略勝一籌	"The Way is Greater; 
A notch above."
道貌岸然　莊嚴身相	"Dignified Look; 
Solemn appearance."
道情法愛　佛門情誼	"Friendship for the Path, Love for the Truth; 
Friendship in Buddhism."
道上人間倩女幽魂	The Path: a Chinese Ghost Story
道頭會尾　見微知著	"See the End from the Beginning; 
A small clue reveals all."
道心堅固　不忘初心	"A Firm Mind Seeks the Way; 
Never forget one's initial aspirations."
道由心生	The Path is Found Within the Mind
道在當下	The Path is in the Present Moment
道在心中	The Path is in the Mind
倒戈卸甲　棄械投降	"To Betray by Laying Down Arms; 
To surrender."
倒駕慈航　乘願再來	"The Turnabout Boat of Compassion; 
Fulfilling a vow to return to the Saha world."
刀口舔蜜　割舌之患	"Licking Honey Off a Razor Blade; 
Dangerous and risky."
刀山火海　苦不堪言	"Mountain of Knives, Sea of Fire; 
Unspeakable suffering."
刀山劍樹　痛苦不堪	"Mountain of Knives, Tree of Swords; 
Unbearable agony."
得其三昧　進入悟境	"Attain Samadhi; 
Entering into the state of enlightenment."
得未曾有　如獲至寶	"Gaining What One Never Had; 
As if stumbling upon a treasure."
得意的笑青山不改	Vigorous Laugh: youth never gone
燈燈相映　佛道相同	"One Lamp Reflects Another; 
Sharing the Buddha Way."
登高望遠	Climb High to See a Greater View
登高望遠　心懷天下	"Climb High To See a Greater View;
A mind that embraces the World."
登高致遠	Climb High to Reach Far
覿面相呈直下會得	"Unspoken Face-to-Face Teaching; 
Immediate realization."
滴水穿石　有恆所至	"Constant Dripping Wears Away Stone; 
Perseverance leads to achievements."
滴水難消　承受不起	"Unworthy of Offering; 
Even a drop of water is difficult to digest."
地水火風	Earth, Water, Fire, and Wind
地水火風　四大因緣	"Earth, Water, Fire, and Wind; 
Four major causes and conditions."
電光朝露　為時短暫	"Flash of Lightning and Morning Dew; 
In the blink of an eye."
點燈照心天堂有路	Light of the Lamp: seeing the heart, a road to heaven
點亮心燈	Light the Lamp of the Heart
點亮心燈　佛性顯發	"Light the Lamp of the Heart; 
Reveal one's Buddha nature."
頂禮膜拜　俯首至地	"Prostrating in Reverence; 
Touching one's head to the ground."
頂天立地　俯仰無愧	"Reach for the Sky and Stand Firm on the Ground; 
To have a clear conscience."
定慧等持　止觀雙修	"Equally Uphold Concentration and Wisdom; 
Practice both calming and contemplation."
定中世界	Right Dharma Purifies the Mind
東方紅合唱唱紅中國	The East Is Red: choir singing the sounds of China
東方之珠在我心上	Pearl of the Orient: always in my heart
"東林寺酬韋丹刺史
年老心閑(閒)無外事，
麻衣草座亦容身。
相逢盡道休官好，
林下何曾見一人。"	"For Provincial Govenor Wei Dan at Donglin Temple
An old but leisurely heart, free of worldly trouble,
A linen robe and straw mat suffice to let me be;
So they claim to envy the life of a retired rank,
Yet, deep in the forests, have they ever been?"
東塗西抹　隨手亂畫	"Painting Here and There; 
To doodle freely."
"東西南北任遨遊，
萬里長江一葉舟；
夢裏不知身是客，
醒來大地忽新秋。"	"East, West, South, North, travel freely as one may wish,
On the endless Yangtze River sails a boat;
Not realizing one is just a guest in the dream,
Upon waking, a new autumn is already here."
動靜一如　境界超越	"Movement is the Same as Stillness; 
Transcend boundaries and differentiation."
動念即乖　分別皆非	"Any Arising Thought Falls Out of Accord; 
All discriminations are false."
動弦別曲　聞一知十	"A Word to the Wise is Sufficient; 
Knowing the full picture by seeing a part."
動心忍性	A Moved Heart With a Nature of Tolerance
冬戀難忘燕雁南飛	Winter Love: unforgettable
冬去春來	Winter Goes and Spring Comes
洞然明白	Clearly Understood
洞然明白　茅塞頓開	"Revealed in Perfect Clarity; 
A perfect comprehension of things."
抖擻精神　振作意志	"Vim and Vigor; 
Liven up spirit."
獨具慧眼　見解高超	"To See What Others Cannot; 
Exceptionally insightful."
獨一無二　絕無相同	"One and Only, Second to None; 
Unique."
杜口無言　絕口不提	"Hold One's Tongue; 
Not saying anything."
篤實正經	Be Firm and Serious
度一切苦厄	Overcome All Sufferings
端心正意　別無邪念	"Proper Mind and Right Will; 
No erroneous thoughts."
對機說法　契合根性	"Adaptive Teaching; 
According to different capabilities."
對牛彈琴　知音難覓	"To Play the Lute to a Cow; 
A soul mate is difficult to find."
遁入空門　出家修道	"Entering a Monastic Order; 
To practice as a renunciant."
墮坑落塹　身陷危難	"Fall Into a Pit; 
Trapped in a dangerous situation."
多口阿師　閒話無用	"Full of Hot Air; 
Talk of nonsense with nothing worthwhile."
惡語傷人　說話如刀	"Harmful Speech; 
Words that cut like a knife."
耳根清淨　遠離塵囂	"Peace and Quiet; 
Away from havoc and unrest."
二人為仁	Benevolence Between People
法不孤起　仗境方生	"Dharmas Do Not Arise Alone; 
Causes and conditions are required."
法爾如是	Dharma As It Is
法爾如是　本來如此	"Dharma as It Is; 
Originally so."
法爾天成	Dharma As It Is Naturally
法爾自然	The Dharma Is As Natural As It Is
法法平等	Every Dharma is Equal
法法一如	All Dharmas Have the Same Essence
法海入心	Let the Ocean of Dharma Flow Into the Mind
法華	The Flower of Dharma
法界為心	The Mind is the Dharma Realm
法界唯心	Dharma Realm in the Mind
法界一如	Dharma Realm as One
法界一心	The Dharma Realm is Embodied Within the Mind
法力無邊　微妙難測	"Boundless Dharma Power; 
Subtle and immeasurable."
法輪常轉　佛日增輝	"The Eternally Turning Dharma Wheel; 
May the Buddha's days be glorified."
法忍	Dharma Patience
法是吾家	The Dharma is My Home
法水	Dharma Water
法水長流	Everflowing Steam of Dharma
法水甘露	Dharma Nectar
法水流心	The Flow of Dharma Streams Into the Heart
法水流心	The Dharma Stream Flows Into the Heart
法水潤生	The Life-Nourishing Dharma Water
法水生命	The Dharma Water of Life
法同舍	Dharma Abode
法喜禪悅	The Joy of Chan
法喜充滿　體悟真理	"Filled with Dharma Joy; 
Realization of the Truth."
法喜人生	A Life of Dharma Joy
法喜生命	A Life of Dharma Joy
